OBJECTID,CALL_TYPE_FINAL,LOCATION,CURR_DGROUP,callCreatedDateTime,NEIGHBORHOOD,MAP_PAGE,x,y
78,Theft,200 BLK OF 5TH AVE,2,2023-09-28T19:18:00,CENTRAL BUSINESS DISTRICT,201,-80.00101805,40.44079126
79,Theft from Vehicle,2700 BLK OF 5TH AVE,4,2023-09-28T18:31:00,WEST OAKLAND,402,-79.96567248,40.43764965
80,Theft,2600 BLK OF STELLA ST,3,2023-09-28T16:32:00,SOUTH SIDE SLOPES,1608,-79.96928834,40.42271359
81,Burglary,3600 BLK OF GERBER AVE,1,2023-09-28T16:11:00,BRIGHTON HEIGHTS,2703,-80.03316161,40.48105238
82,Theft,3600 BLK OF GERBER AVE,1,2023-09-28T16:11:00,BRIGHTON HEIGHTS,2703,-80.03316161,40.48105238
83,Theft,6200 BLK OF PENN AVE,5,2023-09-28T13:44:00,EAST LIBERTY,1115,-79.92191009,40.46085426
84,Theft,200 BLK OF OPHELIA ST,4,2023-09-28T12:21:00,SOUTH OAKLAND,409,-79.96488827,40.43554598
85,Shooting (Non Fatal),3400 BLK OF FLEMING AVE,1,2023-09-28T07:13:00,BRIGHTON HEIGHTS,2703,-80.03852727,40.47720639
86,Burglary,<100 BLK OF ELMONT ST,6,2023-09-27T23:49:00,CRAFTON HEIGHTS,2815,-80.05612424,40.43894734
87,Theft,8200 BLK OF FRANKSTOWN AVE,5,2023-09-27T23:37:00,EAST HILLS,1306,-79.88144759,40.45492783
88,Robbery,CONNECTING RD & LAKE DR,5,2023-09-27T20:30:00,HIGHLAND PARK,9801,-79.91165088,40.47862947
89,Theft,3700 BLK OF FORBES AVE,4,2023-09-27T20:30:00,CENTRAL OAKLAND,405,-79.95736833,40.44102425
90,Vehicle Theft,100 BLK OF LAFFERTY AVE,3,2023-09-27T20:16:00,BELTZHOOVER,5624,-80.00654449,40.41817975
91,Burglary,7000 BLK OF KELLY ST,5,2023-09-27T20:04:00,HOMEWOOD SOUTH,1303,-79.90090337,40.45658038
92,Theft,800 BLK OF BROUGHTON ST,5,2023-09-27T18:36:00,BLOOMFIELD,804,-79.9465815,40.45510346
93,Theft,400 BLK OF OAK HILL DR,2,2023-09-27T18:30:00,TERRACE VILLAGE,510,-79.96966677,40.44210395
94,Theft,900 BLK OF LIBERTY AVE,2,2023-09-27T18:10:00,CENTRAL BUSINESS DISTRICT,201,-79.996569,40.443224
95,Burglary,2300 BLK OF BEAUFORT AVE,6,2023-09-27T17:12:00,BROOKLINE,1917,-80.01895441,40.39941902
96,Theft,100 BLK OF EAZOR SQ,2,2023-09-27T16:30:00,STRIP DISTRICT,203,-79.97559964,40.45969812
97,Theft,5200 BLK OF STANTON AVE,2,2023-09-27T16:23:00,UPPER LAWRENCEVILLE,1011,-79.95114303,40.47757865
98,Theft,400 BLK OF MELWOOD AVE,4,2023-09-27T16:02:00,NORTH OAKLAND,5620,-79.9520624,40.45377368
99,Theft from Vehicle,3800 BLK OF BIGELOW BLVD,4,2023-09-27T15:44:00,NORTH OAKLAND,507,-79.954097,40.453623
100,Vehicle Theft,1400 BLK OF GREYSTONE DR,5,2023-09-27T15:15:00,HIGHLAND PARK,1102,-79.91805038,40.47764184
101,Theft from Vehicle,4900 BLK OF COLERIDGE ST,5,2023-09-27T15:13:00,STANTON HEIGHTS,1005,-79.9339452,40.47890013
102,Burglary,5700 BLK OF BEACON ST,4,2023-09-27T14:29:00,SQUIRREL HILL SOUTH,1413,-79.92444559,40.43482203
103,Theft,200 BLK OF MEREDITH ST,3,2023-09-27T14:20:00,CARRICK,2902,-79.98441352,40.39751518
104,Theft from Vehicle,4500 BLK OF PENN AVE,5,2023-09-27T14:19:00,BLOOMFIELD,903,-79.9508333,40.4659197
105,Theft from Vehicle,4600 BLK OF PENN AVE,5,2023-09-27T14:09:00,BLOOMFIELD,903,-79.94990054,40.46577105
106,Theft,6000 BLK OF PENN AVE,5,2023-09-27T13:39:00,EAST LIBERTY,1115,-79.92364253,40.46138102
107,Theft from Vehicle,300 BLK OF S MATHILDA ST,5,2023-09-27T13:30:00,BLOOMFIELD,809,-79.94702203,40.463248
108,Theft from Vehicle,4600 BLK OF PENN AVE,5,2023-09-27T13:15:00,BLOOMFIELD,903,-79.95049667,40.46586103
109,Theft from Vehicle,10TH STREET BYP & 9TH STREET BRG ,2,2023-09-27T13:00:00,CENTRAL BUSINESS DISTRICT,201,-79.999156,40.44546
110,Theft from Vehicle,300 BLK OF S MATHILDA ST,5,2023-09-27T12:45:00,BLOOMFIELD,809,-79.94698101,40.46335724
111,Theft from Vehicle,300 BLK OF S MATHILDA ST,5,2023-09-27T12:30:00,BLOOMFIELD,809,-79.9472317,40.4619705
